Cocktail,Ingredients,Method,Process,Glass,Garnish,Notes,Characteristics,
,0.75oz Lemon,,#NAME?,,Blackberries ,Espresso Martini.,Tart,
,0.75oz Creme de Mure,,#NAME?,,,,Fruit forward,
,0.33oz Simple syrup,,#NAME?,,,,,
,3 Blackberries (If you have them),,#NAME?,,,,,
,,,,,,,,
Brooklyn,2oz Rye,Stirred,#NAME?,Nick and Nora,Lemon twist,,Rye ,
,0.5oz Dry Vermouth,,#NAME?,,,,Spirit forward,
,0.5oz Amaro CioCiaro,,#NAME?,,,,Herbaceous,
,0.25oz Maraschino,,#NAME?,,,,,
,,,,,,,,
Brooklynite,2oz Aged Rum,Shaken,#NAME?,Coupe,Lime wheel on a pick,,Rum,
,0.75oz Lime juice,,#NAME?,,,,Tart,
,0.75oz Honey syrup,,#NAME?,,,,,
,1 dash Angostura bitters,,#NAME?,,,,,
,,,,,,,,
Brown Derby,2oz Bourbon,Shaken,#NAME?,Coupe,Grapefruit twist,"Like the Blood and Sand, this is one of those classic cocktails that you should know, but recognize as a",Bourbon,
,1oz Grapefruit juice,,#NAME?,,,bit imbalanced (grapefruits used to be a lot less sweet and more acidic than they are today). That's why,Tart,
,0.5oz Honey syrup,,#NAME?,,,"I added the lemon juice. But hey, if you get your hands on white grapefruit juice or particularly acidic ",Fruit forward,
,0.25oz Lemon juice ,,#NAME?,,,"grapefruit juice of any kind, feel free to omit the lemon and make one for me.",Sweet,
,,,,,,,,
Bucks (aka Mules),2oz Spirit,Built,#NAME?,Collins,Lime Wedge,with Goslings Rum = Dark and Stormy,Tart,
,0.25oz Lime juice,,#NAME?,,Candied ginger ,with Rye = Presbytarian ,Spicy,
*Cocktail Family*,Fill with Ginger Beer,,#NAME?,,,with Scotch = Mamie Taylor,Bubbly,
,,,,,,with Tequila + a Creme de Cassis float = El Diablo,,
,,,,,,with Mezcal + Cherry Heering float + 1 dash of firewater bitters = Oaxacan Devil ,,
,,,,,,with London Dry Gin + Muddled Mint and Mint Garnish = Gin Gin Mule,,
,,,,,,"with Vodka = Seriously, if you have to ask...",,
,,,,,,,,
Caipirinha,2oz Cachaça ,Soft Shaken / Dump,#NAME?,Rocks glass,No Garnish,This cocktail can be tricky for three reasons: ,Cachaça,
,4-5 Lime Wedges,,#NAME?,,,"1. Muddle the limes slowly (so you don't splash the liquid), but firmly (so you get the oils).",Tart,
,0.75 Simple syrup,,#NAME?,,,"2. A soft-shake is necessary so that you mix, aerate, chill, and dillute the cocktail without breaking up",,
,,,#NAME?,,,"the ice cubes, since you'll be dumping them into the glass.",,
,,,#NAME?,,,"3. The amont of lime juice/acidity that you'll get from muddling limes is inconsistent, so you may have to",,
,,,#NAME?,,,"taste, adjust it, and re-shake before serving it.",,
,,,#NAME?,,,Vodka instead of Cachaça = Caipiroska,,
,,,,,,Aperol instead of Cachaça + reduce the Simple syrup to 0.5oz = Guilty Pleasure.,,
,,,,,,,,
Cameron's Kick,1oz Scotch ,Shaken,#NAME?,Coupe,Orange twist,"Fun fact: no one actually knows the proper way to pronounce ""orgeat"".",Scotch / Irish Whiskey,
,1oz Irish Whiskey,,#NAME?,,,,Tart,
,0.75oz Lemon juice,,#NAME?,,,,Floral,
,0.75oz Orgeat,,#NAME?,,,,,
,1 dash of Angostura bitters,,,,,,,
,,,,,,,Green Chartreuse,
Carthusian Flip,1.5oz Green Chartreuse,2 Cube Shaken,#NAME?,Coupe,Grated nutmeg,"I didn't invent this, but I can't seem to find the recipe that I was taught. Its one of those cocktails that ",High ABV,
,1 Whole Egg,,- Add 2 kold draft cubes ,,,"seems like it shouldn't work, but it does. And it's dangerously tasty. ",Herbaceous,
,0.75oz Punt e Mes Sweet Vermouth,,#NAME?,,,,Baking spices,
,2 dashes of Angostura bitters,,#NAME?,,,,Creamy,
,,,,,,,Sparkling Wine,
Champagne Cocktail,1 sugar cube,Built,#NAME?,Flute,Lemon twist ,"Like the name implies, Champagne is traditionally used for this cocktail. However, Champagne is",Low ABV,
,3 dashes of Angostura bitters,,#NAME?,,,"expensive, and you won't taste what you paid for with this cocktail. So fuck 'em, use Cava. ",Bubbly,
,Fill with Sparkling Wine (white),,#NAME?,,,"Also, the reason you add the sugar cube last is so that your wine doesn't foam up and lose carbination.",Sweet,
,,,,,,,,
Champs Elysee,1.5oz Cognac,Shaken,#NAME?,Coupe,Lemon wheel on a pick,"Super underappreciated, and fun to say. ",Cognac,
,0.75oz Lemon,,#NAME?,,,,Tart,
,0.5oz Yellow Chartreuse,,#NAME?,,,,Herbaceous,
,0.5oz Simple syrup,,#NAME?,,,,,
,1 dash of Angostura bitters,,,,,,,
,,,,,,,,
Chartreuse Swizzle,1.5oz Green Chartreuse,Swizzled,#NAME?,Hurricane or Collins,Grated nutmeg,,Green Chartreuse,
,1oz Pineapple juice,,#NAME?,,Mint Bouquet ,,Tart,
,0.75oz Lime juice,,#NAME?,,,,Fruit forward,
,0.5oz Falernum ,,#NAME?,,,,Herbaceous,
,,,,,,,,
Chet Baker,2oz Aged Jamaican Rum,Stirred,#NAME?,Rocks glass,Orange twist,Another Sammy Ross special,Rum,
,0.5oz Punt e Mes Sweet Vermouth,,#NAME?,,,,Spirit forward,
,0.25oz Honey syrup,,#NAME?,,,,Sweet,
,2 dashes of Angostura bitters,,,,,,,
,,,,,,,,
Chrysanthemum,1.5oz Fino sherry,Stirred,#NAME?,Nick and Nora,Flamed Orange peel,"Classic lower-ABV cocktail that needed some updating, since my feeling is that either: 1. Benedictine",Sherry / Vermouth,
(Improved),1oz Dry Vermouth,,#NAME?,,,"used to be less sweet, 2. The modern drinking palate craves something drier, or 3. some mixture of both.",Low ABV,
,0.75oz Benedictine ,,#NAME?,,,,Spirit forward,
,2 dashes of Orange bitters,,#NAME?,,,,Herbaceous,
,2 Sprays of Absinthe,,#NAME?,,,,,
,,,,,,,,
Clover Club,2oz Gin,2 Cube Shaken,#NAME?,Coupe,Lemon twist - discard,"If you don't have raspberry syrup or fresh raspberries on hand, use this riff:",Gin,
,0.75oz Lemon,,#NAME?,,Fresh raspberries,Reduce the Gin to 1.5oz + 0.5oz Raspberry brandy + Simple syrup instead of raspberry syrup + 3 dashes ,Tart,
,0.75oz Raspberry syrup,,#NAME?,,,of Peychaud's bitters to the shaker tin + Mint leaf garnish,Fruit forward,
,0.75oz Egg White,,,,,,,
,,,,,,,,
Cobble Hill,2oz Rye,Stirred,#NAME?,Nick and Nora,Cucumber slice,Archangel riff invented by - you guessed it - Sam Ross.,Rye ,
,0.5oz Amaro Montenegro,,#NAME?,,,,Spirit forward,
,0.5oz Dry Vermouth,,#NAME?,,,,Herbaceous,
,5 slices of Cucumber ,,#NAME?,,,,,
,,,#NAME?,,,,,
,,,,,,,,
Cocktail a la Louisiane,2oz Rye,Stirred,#NAME?,Nick and Nora,Cherry,Aren't French things fun!,Rye,
,0.75oz Sweet Vermouth (Cinzano 1757 di Torino),,#NAME?,,,,High ABV,
,0.5oz Benedictine,,#NAME?,,,,Spirit forward,
,3 dashes of Peychaud's bitters,,#NAME?,,,,Herbaceous,
,2 Sprays of Absinthe,,#NAME?,,,,Baking spices,
,,,,,,,,
Collins,2oz Spirit,Shaken,#NAME?,Collins ,Lemon Wedge,With London Dry gin gives = John Collins. Using Old Tom Gin and increasing the  ,(usually) Gin or Vodka ,
,0.75oz Lemon juice,,#NAME?,,,With Old Tom gin + Increase the lemon juice to 1oz = Tom Collins.,Tart,
*Cocktail Family*,0.75oz Simple syrup,,#NAME?,,,With lime juice instead of lemon juice + lime wedge garnish = Rickey,Bubbly,
,Fill with Club soda,,#NAME?,,,"(but the Rickey was named after some guy that fought for the Confederacy, so fuck him).",,
,,,#NAME?,,,,,
,,,#NAME?,,,,,
,,,,,,,,
Corpse Reviver #2,1oz Gin,Shaken,#NAME?,Coupe,Orange twist - discard,,Gin,
,0.75oz Lemon juice,,#NAME?,,Cherry,,Tart,
,0.75oz Cointreau,,#NAME?,,,,Herbaceous,
,0.75oz Cocchi Americano,,#NAME?,,,,,
,1 Spray of Absinthe,,#NAME?,,,,,
,,,,,,,,
Cosmopolitan,1.5oz Vodka,Shaken,#NAME?,Coupe,Lime wedge,Its basically a pink Lemon Drop (but don't tell that to Sex in the City fans),Vodka,
,1oz Cointreau,,#NAME?,,,,Tart,
,0.5oz Lime,,#NAME?,,,,Fruit forward,
,0.75oz Cranberry juice,,#NAME?,,,,,
,1 Barspoon Simple syrup,,,,,,,
,,,,,,,,
Crusta,2oz Spirit (typically Cognac),Shaken,#NAME?,Nick and Nora,Half-sugar rim,The cocktail is older than the Sazerac and has gone through some significant alterations ,Cognac,
,0.33oz Lemon juice,,#NAME?,,,"over the years. This is by no means the ""definitive"" recipe, it's just the one I like.",Spirit forward,
*Cocktail Family*,0.25oz Dry Curacao,,#NAME?,,"Express the Lemon twist, then curl ",,Tart,
,1 Barspoon Simple syrup,,#NAME?,,it around the inside of the glass,,Sweet,
,2 dashes Angostura bitters,,,,,,,
,,,,,,,,
Cynar Julep,2oz Cynar,Swizzled,#NAME?,Rocks glass,Long Grapefruit peel curled around ,"For any crushed ice cocktail, a straw is a must. Keep it right by the mint bouquet.",Amaro,
,1oz Grapefruit juice,,#NAME?,,the top of the glass.,,Low ABV,
,Handful of Mint Leaves,,#NAME?,,,"My ""Improved"" Version:  ",Tart,
,,,#NAME?,,Mint bouquet,Add 0.25oz Raspberry brandy + 2 drops of Saline solution + extra 0.25oz of Grapefruit juice,Herbaceous,
,,,#NAME?,,,,Bitter,
,,,,,,,,
Daiquiri (Classic),2oz Unaged Rum,Shaken,#NAME?,Coupe,Lime wheel on a pick,"Float 0.25oz Oloroso sherry on top, and you've got yourself a No Scruples Daiquiri. It's tasty.",Rum,
,1oz Lime juice,,#NAME?,,,,Tart,
,0.75oz Simple syrup,,#NAME?,,,,,
,,,#NAME?,,,,,
,,,,,,,,
Daiquiri (Bolita style),1.25oz Unaged Rum,Shaken,#NAME?,Coupe,Float Dehydrated Lime wheel,"The rums should be prebatched, but just in case.",Rum,
,0.5oz 100proof Unaged Rum Agricole,,#NAME?,,,,Tart,
,0.25oz Wray & Nephew Rum,,#NAME?,,,,,
,1oz Lime,,#NAME?,,,,,
,0.75oz Simple syrup,,,,,,,
,2 drops Saline Solution,,,,,,,
,,,,,,,,
Daisy,2oz Spirit,Shaken,#NAME?,Coupe,Lemon wheel on a pick,Made with Bourbon + 2 Sprays Absinthe rinse + no Rum = Billionaire Cocktail,Cognac (usually),
,0.75oz Lemon juice,,#NAME?,,,,Tart,
*Cocktail Family*,0.5oz Dry Curacao,,#NAME?,,,,Fruit forward,
,0.5oz Grenadine,,#NAME?,,,,,
,Barspoon of Aged Jamaican Rum,,,,,,,
,,,,,,,,
Daisy de Martinique,"1.75oz Unaged, 100 proof Rhum Agricole",Swizzled,#NAME?,Rocks glass,Fresh Lime wheel,,Rum,
,0.75oz Lime,,#NAME?,,,,Tart,
,0.5oz Simple syrup,,#NAME?,,,,Herbaceous,
,0.25oz Green Chartreuse,,#NAME?,,,,,
,,,,,,,,
Daisy de Santiago,1.75oz Dry Unaged Rum,Shaken,#NAME?,Coupe,Lime wheel on a pick,"Credited to Charles H. Baker Jr., who wrote the Gentleman's Companion. A fascinating rogue of",Rum,
,0.75oz Lime juice,,#NAME?,,,inimitable character and impeccable taste. ,Tart,
,0.5oz Simple syrup,,#NAME?,,,,Herbaceous,
,0.25oz Yellow Chartreuse ,,#NAME?,,,,,
,,,,,,,,
Dead Poet,1.75oz Vodka,Stirred,#NAME?,Nick and Nora,Lemon twist,,Vodka,
,0.75oz Fino sherry,,#NAME?,,,,Spirit forward,
,0.25oz Benedictine,,#NAME?,,,,Herbaceous,
,2 Sprays of Absinthe,,#NAME?,,,,,
,,,#NAME?,,,,,
,,,,,,,,
Death in the Afternoon,0.75oz Absinthe,Shaken,#NAME?,Flute,Lemon twist - discard,"The original, popularized by Hemingway, was just a full shot of Absinthe topped with Champagne...and ",Absinthe,
,0.5oz Lemon juice,,- Add 1 kold draft cube,,,nothing else. He also prescribed drinking 3 - 5 of them at a time. But Hemingway's liver possesed a  ,Tart,
,0.5oz Simple syrup,,#NAME?,,,"caliber of foritude never seen before or hence; so us mere mortals must take a more, subtle approach. ",Bubbly,
,1 dash of Orange bitters,,#NAME?,,,,Herbaceous,
,Fill with Sparkling Wine (white),,#NAME?,,,,,
,,,,,,,,
Diamondback Lounge,1.25oz Rye,Stirred,#NAME?,Rocks glass,Lemon twist,"Some versions call for it to be served up, with Green Chartreuse, and with no bitters, but...",Rye / Apple Brandy,
,0.75oz Apple Brandy,,#NAME?,,,"fuck that noise, that seems unbalaced as hell. I prefer to interpret it as akin to a boozier, ",High ABV,
,0.5oz Yellow Chartreuse,,#NAME?,,,more complex American Trilogy,Spirit forward,
,1 dash Angostura bitters,,,,,,Herbaceous,
,1 dash Orange bitters,,,,,,Sweet,
,,,,,,,,
D.B. Cooper,1oz Navy Strength Gin,Shaken,#NAME?,Coupe,Grapefruit twist,"I stole an old Julien Cox cocktail whose name I forgot, kept riffing on it, and here we are.",Gin,
,0.75oz Lemon juice,,#NAME?,,,,Tart,
,0.75oz Amaro Montenegro,,#NAME?,,,,Fruit forward,
,0.75oz Giffard Pamplemousse,,#NAME?,,,,,
,2 dashes of Hopped Grapefruit bitters ,,,,,,,
,2 drops of Saline Solution,,,,,,,
,,,,,,,,
Dobbes Cocktail,2oz Bourbon,Stirred,#NAME?,Nick and Nora,Lemon twist,Invented by...drumroll please...Samuel Ross!,Bourbon,
,0.75oz Sweet Vermouth (Cinzano 1757 di Torino),,#NAME?,,Cherry,,Spirit forward,
,0.25oz Fernet Branca,,#NAME?,,,,Herbaceous,
,,,#NAME?,,,,,
,,,,,,,,
The Duchess,1oz Bitter Bianco Liqueur,Stirred,#NAME?,Nick and Nora,Lemon twist,,Absinthe,
,1oz Sweet Vermouth (Cinzano 1757 di Torino),,#NAME?,,,,Spirit forward,
,1oz Absinthe,,#NAME?,,,,Herbaceous,
,2 dashes of Orange bitters,,#NAME?,,,,,
,,,,,,,,
Eastside,2oz Gin,Shaken,#NAME?,Coupe,Cucumber slice and mint sprig on a pick,"Serve this on the rocks and it's technically an Old Maid, which predates the Eastside, but I learned to ",Gin ,
,1oz Lime juice,,#NAME?,,,"call this cocktail an Eastside, and I'm writing this compendium, so... sorry not sorry. ",Tart,
,0.75oz Simple syrup,,#NAME?,,,Substitute Vodka in place of Gin = Eastern Standard,Herbaceous,
,5 Slices of Cucumber,,#NAME?,,,Substitute Blanco Tequila in place of Gin = Platino Fresca,,
,Large handful of Mint Leaves,,#NAME?,,,Substitute 1.5oz Vodka instead of Gin + 0.75oz St. Germain + Drop simple syrup to 0.5oz + Club soda + ,,
,,,#NAME?,,,served in a Collins = Ivy Fizz,,
,,,,,,,,
East India Cocktail,2oz Cognac,Stirred,#NAME?,Nick and Nora,Lemon twist,,Cognac,
,0.5oz Sweet Vermouth (Cinzano 1757 di Torino),,#NAME?,,,,Spirit forward,
,0.25oz Dry Curacao ,,#NAME?,,,,Fruit forward,
,0.25oz Raspberry Brandy,,#NAME?,,,,,
,1 barspoon Maraschino,,,,,,,
,3 dashes of Angostura bitters,,,,,,,
,,,,,,,,
El Matador,1.75oz Blanco Tequila,Shaken,#NAME?,Rocks glass,Flamed Orange peel,A very underappreciated cocktail from Joel Black,Tequila,
,0.5oz Creme de Violette,,#NAME?,,,,Tart,
,0.75oz Lemon juice,,#NAME?,,,,Floral,
,0.5oz Ginger syrup,,#NAME?,,,,Spicy,
,0.33oz Simple syrup,,,,,,,
,2 dashes of Orange bitters ,,,,,,,
,,,,,,,,
El Presidente,1.5oz Unaged Rum,Stirred,#NAME?,Nick and Nora,Orange twist,,Rum,
,0.5oz Dry Curacao,,#NAME?,,,,Spirit forward,
,0.75oz Dry Vermouth,,#NAME?,,,,,
,1 barspoon Grenadine,,#NAME?,,,,,
,1 dash of Orange bitters,,,,,,,
,,,,,,,,
Embury Cocktail,2oz Gin,Stirred,#NAME?,Nick and Nora,Lemon twist,,Gin,
,0.5oz Fino sherry,,#NAME?,,,,High ABV,
,0.5oz Yellow Chartreuse ,,#NAME?,,,,Spirit forward,
,2 dashes of Orange bitters,,#NAME?,,,,Herbaceous,
,,,,,,,,
Employee's Only,1.25oz Fernet Branca ,Stirred,#NAME?,Nick and Nora,Mint sprig,,Amaro,
,1oz Cocchi Americano,,#NAME?,,,,Spirit forward,
,0.75oz Strega ,,#NAME?,,,,Herbaceous,
,,,#NAME?,,,,Bitter,
,,,,,,,,
Espresso Martini,1.5oz Vodka,Shaken,#NAME?,Coupe,Grated nutmeg,The original was created by Dick Bradsell in London. Legend has it that a supermodel asked for a,Vodka,
,1oz Fresh Espresso (1 pull),,#NAME?,,,"cocktail that would ""wake her up and fuck her up"". I tweaked it a bit. ",Baking spices,
,0.75oz Coffee Liqueur,,#NAME?,,,,Sweet,
,1 barspoon Rich Demerara syrup,,#NAME?,,,,Creamy,
,2 drops Saline Solution,,,,,,,
